,Unnamed: 0,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper,calculated_war
0,0,Fernando Pacheco_2019_Alaves,La Liga,1.31,74.0,22.9,0.17,40.9,3.4,1.14,0.9423941157937671
1,1,Regis Gurtner_2019_Amiens,Ligue 1,1.37,72.3,28.9,-0.06,38.2,2.5,0.47,0.3109499730772585
2,2,Ludovic Butelle_2019_Angers,Ligue 1,1.33,72.0,30.6,0.03,41.7,3.2,0.92,0.7133352167029469
3,3,Petr Cech_2019_Arsenal,Premier League,1.38,75.7,14.3,0.03,34.4,5.8,1.23,0.29172212302389555
4,4,Bernd Leno_2019_Arsenal,Premier League,1.33,75.9,22.6,0.1,33.0,2.6,1.27,0.7521684248758793
5,5,Etrit Berisha_2019_Atalanta,Serie A,1.39,61.9,27.8,-0.21,45.7,3.8,1.06,-0.7363148425543459
6,6,Pierluigi Gollini_2019_Atalanta,Serie A,1.05,74.3,20.0,0.01,37.0,1.7,1.5,0.708332803828019
7,7,Iago Herrerin_2019_Athletic Club,La Liga,1.03,66.7,32.3,-0.08,43.7,4.3,1.1,0.5293134137539787
8,8,Unai Simon_2019_Athletic Club,La Liga,1.86,66.7,0.0,0.04,41.2,4.5,0.29,-1.4779236644098772
9,9,Jan Oblak_2019_Atletico Madrid,La Liga,0.73,82.9,54.1,0.39,37.1,4.1,0.43,3.9378720232384508
10,10,Gregor Kobel_2019_Augsburg,Bundesliga,2.72,55.9,18.8,-0.42,33.5,4.6,1.04,-3.8122043116155147
11,11,Andreas Luthe_2019_Augsburg,Bundesliga,1.51,71.8,14.3,-0.02,36.4,1.5,0.62,-0.3915694320465999
12,12,Marc-Andre ter Stegen_2019_Barcelona,La Liga,0.91,73.3,45.7,0.18,51.1,2.0,0.91,2.3639994077311215
13,13,Manuel Neuer_2019_Bayern Munich,Bundesliga,0.9,64.3,38.5,-0.08,43.8,5.3,1.72,0.7934611148299984
14,14,Sven Ulreich_2019_Bayern Munich,Bundesliga,1.07,69.6,25.0,0.11,35.3,0.0,0.95,0.6428396409507248
15,15,Pau Lopez_2019_Betis,La Liga,1.42,67.2,30.3,-0.04,37.7,5.7,1.39,0.07555587161361217
16,16,Lukasz Skorupski_2019_Bologna,Serie A,1.47,69.9,26.3,-0.11,46.2,5.3,0.37,-0.026457465785703044
17,17,Benoit Costil_2019_Bordeaux,Ligue 1,1.14,76.3,24.3,0.12,43.9,2.3,0.59,1.247831554632789
18,18,Asmir Begovic_2019_Bournemouth,Premier League,1.96,56.7,20.8,-0.44,39.3,6.6,0.67,-2.6968457807458703
19,19,Artur Boruc_2019_Bournemouth,Premier League,1.5,73.2,33.3,-0.17,34.1,1.9,0.75,0.06729635025224619
20,20,Mathew Ryan_2019_Brighton,Premier League,1.62,69.1,17.6,-0.11,41.1,3.4,0.32,-0.723710394934059
21,21,Joe Hart_2019_Burnley,Premier League,2.16,65.5,21.1,-0.21,40.4,1.9,0.74,-1.7767906689735151
22,22,Tom Heaton_2019_Burnley,Premier League,1.42,68.7,21.1,-0.1,39.2,2.4,1.53,-0.3386705629223235
23,23,Brice Samba_2019_Caen,Ligue 1,1.42,75.1,23.7,0.37,46.1,6.1,0.42,1.5028976322703982
24,24,Alessio Cragno_2019_Cagliari,Serie A,1.42,77.6,18.4,0.25,46.7,3.9,0.82,1.1975229486190608
25,25,Neil Etheridge_2019_Cardiff City,Premier League,1.82,68.6,26.3,-0.02,31.3,2.8,1.21,-0.5767727158438071
26,26,Sergio Alvarez_2019_Celta Vigo,La Liga,1.69,65.5,15.4,-0.15,38.4,3.5,0.54,-1.2936325657501582
27,27,Ruben Blanco_2019_Celta Vigo,La Liga,1.6,67.0,24.0,0.03,38.4,3.4,1.2,-0.27902117405412996
28,28,Kepa Arrizabalaga_2019_Chelsea,Premier League,1.08,68.6,38.9,-0.07,49.6,3.8,0.97,0.9646086318459933
29,29,Adrian Semper_2019_Chievo,Serie A,1.33,75.0,33.3,0.02,38.3,7.4,0.5,1.040986598223709
30,30,Stefano Sorrentino_2019_Chievo,Serie A,1.94,65.3,16.1,-0.27,43.5,1.6,0.26,-1.8466605442114936
31,31,Vicente Guaita_2019_Crystal Palace,Premier League,1.18,74.1,35.0,-0.09,31.1,4.1,0.51,0.7620877677252932
32,32,Wayne Hennessey_2019_Crystal Palace,Premier League,1.49,66.7,29.4,-0.18,32.5,4.3,0.86,-0.5622754753650072
33,33,Runar Alex Runarsson_2019_Dijon,Ligue 1,1.72,58.6,20.0,-0.37,42.8,4.0,1.8,-2.0583950881045805
34,34,Bobby Allain_2019_Dijon,Ligue 1,1.31,77.8,7.7,0.08,46.6,9.1,1.38,0.6908102696000862
35,35,Roman Burki_2019_Dortmund,Bundesliga,1.25,71.9,31.3,-0.03,32.7,4.2,1.13,0.5766045860424257
36,36,Michael Rensing_2019_Dusseldorf,Bundesliga,1.94,67.6,15.6,-0.24,39.6,5.0,0.09,-1.6096333027895162
37,37,Marko Dmitrovic_2019_Eibar,La Liga,1.25,68.6,20.8,-0.1,34.5,5.5,2.38,-0.10585350343391993
38,38,Asier Riesgo_2019_Eibar,La Liga,1.43,56.5,28.6,-0.17,45.3,3.8,1.93,-1.0330232908719519
39,39,Kevin Trapp_2019_Eint Frankfurt,Bundesliga,1.47,70.3,24.2,-0.11,46.8,4.3,1.13,-0.040332494293024934
40,40,Bartlomiej Dragowski_2019_Empoli,Serie A,1.71,78.1,21.4,0.12,28.8,4.2,1.57,0.45964169445704006
41,41,Ivan Provedel_2019_Empoli,Serie A,2.25,68.3,0.0,-0.36,39.5,4.3,0.5,-2.789712995488769
42,42,Pietro Terracciano_2019_Empoli,Serie A,1.25,71.4,25.0,0.05,36.6,0.9,0.38,0.4314124457610617
43,43,Diego Lopez_2019_Espanyol,La Liga,1.32,73.7,26.3,0.1,40.2,3.6,0.5,0.8219913086784418
44,44,Jordan Pickford_2019_Everton,Premier League,1.21,67.6,36.8,0.03,34.9,3.2,1.05,0.645496686299138
45,45,Alban Lafont_2019_Fiorentina,Serie A,1.19,72.7,23.5,-0.13,36.2,2.9,0.87,0.19012763913077554
46,46,Alexander Schwolow_2019_Freiburg,Bundesliga,1.82,68.8,15.2,-0.09,40.6,2.4,0.88,-1.0253010228383197
47,47,Marco Sportiello_2019_Frosinone,Serie A,1.83,70.6,22.9,-0.24,33.5,3.4,0.6,-1.072328793183532
48,48,Marcus Bettinelli_2019_Fulham,Premier League,2.86,52.5,0.0,-0.36,44.8,0.8,1.57,-4.682081124509828
49,49,Sergio Rico_2019_Fulham,Premier League,1.93,68.5,17.2,-0.12,41.6,1.3,0.97,-1.1801580311704034
50,50,Ionut Radu_2019_Genoa,Serie A,1.39,72.5,18.2,0.01,34.7,2.7,0.42,0.012429779042927669
51,51,David Soria_2019_Getafe,La Liga,0.92,77.4,35.1,0.2,37.3,4.3,1.03,2.1603918010326213
52,52,Yassine Bounou_2019_Girona,La Liga,1.35,77.7,25.0,0.24,38.6,3.4,0.6,1.3583989729827923
53,53,Gorka Iraizoz_2019_Girona,La Liga,1.61,79.5,16.7,0.33,37.7,3.5,0.48,1.0703641058260795
54,54,Marc-Aurele Caillard_2019_Guingamp,Ligue 1,1.62,64.5,28.6,-0.15,40.5,5.5,0.19,-0.734124829724864
55,55,Karl-Johan Johnsson_2019_Guingamp,Ligue 1,2.0,59.0,23.5,-0.52,43.9,5.3,0.41,-2.6261589351560444
56,56,Michael Esser_2019_Hannover 96,Bundesliga,2.06,71.5,15.6,-0.13,49.1,4.4,1.19,-0.9805073255885695
57,57,Rune Jarstein_2019_Hertha BSC,Bundesliga,1.57,67.8,25.8,-0.02,43.6,6.3,0.95,-0.09760227391642934
58,58,Oliver Baumann_2019_Hoffenheim,Bundesliga,1.55,72.9,15.2,-0.08,41.3,3.2,1.76,-0.2742336851054841
59,59,Ben Hamer_2019_Huddersfield,Premier League,3.42,57.1,0.0,-0.25,36.8,7.2,0.65,-4.770009460526975
60,60,Jonas Lossl_2019_Huddersfield,Premier League,1.75,64.5,16.7,-0.39,43.6,7.0,0.94,-1.7769750741763175
61,61,Aleksandar Jovanovic_2019_Huesca,La Liga,1.58,63.0,0.0,-0.08,31.2,1.4,0.33,-1.945926674165429
62,62,Roberto Santamaria_2019_Huesca,La Liga,1.5,75.0,30.0,0.23,45.3,1.6,0.35,1.182817599468697
63,63,Axel Werner_2019_Huesca,La Liga,2.67,53.1,0.0,-0.69,29.8,0.0,0.17,-5.538148381353809
64,64,Samir Handanovic_2019_Inter,Serie A,0.87,76.4,44.7,0.08,46.8,3.3,0.71,2.326993904100229
65,65,Mattia Perin_2019_Juventus,Serie A,0.89,74.1,55.6,0.05,45.6,1.7,0.33,2.3822608635886113
66,66,Wojciech Szczesny_2019_Juventus,Serie A,0.71,76.5,39.3,0.22,54.9,2.5,0.96,2.7832376732195994
67,67,Thomas Strakosha_2019_Lazio,Serie A,1.11,74.2,28.6,0.22,38.3,2.3,0.77,1.4405831930082624
68,68,Ivan Cuellar_2019_Leganes,La Liga,1.12,68.7,26.5,0.0,40.8,5.0,0.82,0.5022658841727047
69,69,Kasper Schmeichel_2019_Leicester City,Premier League,1.26,68.8,26.3,-0.21,44.1,2.2,0.66,-0.18559201774198036
70,70,Aitor Fernandez_2019_Levante,La Liga,1.5,75.9,12.5,0.17,35.3,2.2,1.06,0.3503535589928555
