FBref_Squad,TM_squad,,,,,,,
Alaves,Deportivo Alaves,,,,,,,
Ajaccio,AC Ajaccio,,,,,,,
Almeria,UD Almeria,,,,,,,
Amiens,Amiens,,,,,,,
Angers,Angers SCO,,,,,,,
Arminia,Arminia Bielefeld,,,,,,,
Arsenal,Arsenal FC,,,,,,,
Aston Villa,Aston Villa,,,,,,,
Atalanta,Atalanta BC,,,,,,,
Athletic Club,Athletic Bilbao,,,,,,,
Atletico Madrid,Atletico de Madrid,,,,,,,
Augsburg,FC Augsburg,,,,,,,
Auxerre,AJ Auxerre,,,,,,,
Barcelona,FC Barcelona,,,,,,,
Bayern Munich,Bayern Munich,,,,,,,
Benevento,Benevento Calcio,,,,,,,
Betis,Real Betis Balompie,,,,,,,
Bochum,VfL Bochum,,,,,,,
Bologna,Bologna FC 1909,,,,,,,
Bordeaux,Bordeaux,,,,,,,
Bournemouth,AFC Bournemouth,,,,,,,
Brentford,Brentford FC,,,,,,,
Brescia,Brescia Calcio,,,,,,,
Brest,Stade Brestois 29,,,,,,,
Brighton,Brighton & Hove Albion,,,,,,,
Burnley,Burnley FC,,,,,,,
Cadiz,Cadiz CF,,,,,,,
Caen,Caen,,,,,,,
Cagliari,Cagliari Calcio,,,,,,,
Cardiff City,Cardiff City,,,,,,,
Celta Vigo,Celta de Vigo,,,,,,,
Chelsea,Chelsea FC,,,,,,,
Chievo,Chievo,,,,,,,
Clermont Foot,Clermont Foot 63,,,,,,,
Cremonese,US Cremonese,,,,,,,
Crotone,FC Crotone,,,,,,,
Crystal Palace,Crystal Palace,,,,,,,
Dijon,Dijon,,,,,,,
Dortmund,Borussia Dortmund,,,,,,,
Dusseldorf,Fortuna Dusseldorf,,,,,,,
Eibar,SD Eibar,,,,,,,
Eint Frankfurt,Eintracht Frankfurt,,,,,,,
Elche,Elche CF,,,,,,,
Empoli,FC Empoli,,,,,,,
Espanyol,RCD Espanyol Barcelona,,,,,,,
Everton,Everton FC,,,,,,,
Fiorentina,ACF Fiorentina,,,,,,,
Freiburg,SC Freiburg,,,,,,,
Frosinone,Frosinone Calcio,,,,,,,
Fulham,Fulham FC,,,,,,,
Genoa,Genoa CFC,,,,,,,
Getafe,Getafe CF,,,,,,,
Girona,Girona FC,,,,,,,
Granada,Granada CF,,,,,,,
Greuther Furth,SpVgg Greuther Furth,,,,,,,
Guingamp,Guingamp,,,,,,,
Hannover 96,Hannover 96,,,,,,,
Hellas Verona,Hellas Verona,,,,,,,
Hertha BSC,Hertha BSC,,,,,,,
Hoffenheim,TSG 1899 Hoffenheim,,,,,,,
Huddersfield,Huddersfield,,,,,,,
Huesca,SD Huesca,,,,,,,
Inter,Inter Milan,,,,,,,
Juventus,Juventus FC,,,,,,,
Koln,1.FC Koln,,,,,,,
Lazio,SS Lazio,,,,,,,
Lecce,US Lecce,,,,,,,
